Alpha, F/m0, S, f, PropEff, ThermEff, OvAllEff
.500000E+01, .251484E+03, .165002E+02, .248972E-01, .498543E+02, .670657E+02, .334351E+02
.525000E+01, .245467E+03, .162285E+02, .248972E-01, .506892E+02, .670657E+02, .339951E+02
.550000E+01, .239895E+03, .159668E+02, .248972E-01, .515199E+02, .670657E+02, .345522E+02
.575000E+01, .234716E+03, .157146E+02, .248972E-01, .523465E+02, .670657E+02, .351065E+02
.600000E+01, .229888E+03, .154716E+02, .248972E-01, .531687E+02, .670657E+02, .356579E+02
.625000E+01, .225374E+03, .152373E+02, .248972E-01, .539863E+02, .670657E+02, .362063E+02
.650000E+01, .221143E+03, .150113E+02, .248972E-01, .547992E+02, .670657E+02, .367515E+02
.675000E+01, .217165E+03, .147931E+02, .248972E-01, .556073E+02, .670657E+02, .372935E+02
.700000E+01, .213416E+03, .145826E+02, .248972E-01, .564103E+02, .670657E+02, .378320E+02
.725000E+01, .209876E+03, .143792E+02, .248972E-01, .572081E+02, .670657E+02, .383670E+02
.750000E+01, .206524E+03, .141828E+02, .248972E-01, .580004E+02, .670657E+02, .388984E+02
.775000E+01, .203344E+03, .139930E+02, .248972E-01, .587869E+02, .670657E+02, .394259E+02
.800000E+01, .200321E+03, .138096E+02, .248972E-01, .595676E+02, .670657E+02, .399494E+02
.825000E+01, .197441E+03, .136324E+02, .248972E-01, .603420E+02, .670657E+02, .404688E+02
.850000E+01, .194691E+03, .134611E+02, .248972E-01, .611099E+02, .670657E+02, .409838E+02
.875000E+01, .192062E+03, .132955E+02, .248972E-01, .618710E+02, .670657E+02, .414942E+02
.900000E+01, .189542E+03, .131354E+02, .248972E-01, .626249E+02, .670657E+02, .419999E+02
.925000E+01, .187124E+03, .129807E+02, .248972E-01, .633714E+02, .670657E+02, .425005E+02
.950000E+01, .184797E+03, .128312E+02, .248972E-01, .641100E+02, .670657E+02, .429958E+02
.975000E+01, .182556E+03, .126867E+02, .248972E-01, .648403E+02, .670657E+02, .434856E+02
.100000E+02, .180392E+03, .125470E+02, .248972E-01, .655618E+02, .670657E+02, .439695E+02
.102500E+02, .178299E+03, .124122E+02, .248972E-01, .662741E+02, .670657E+02, .444472E+02
.105000E+02, .176272E+03, .122820E+02, .248972E-01, .669764E+02, .670657E+02, .449182E+02
.107500E+02, .174304E+03, .121564E+02, .248972E-01, .676684E+02, .670657E+02, .453823E+02
.110000E+02, .172390E+03, .120354E+02, .248972E-01, .683492E+02, .670657E+02, .458389E+02
