Alpha, F/m0, S, f, PropEff, ThermEff, OvAllEff
.500000E+01, .242379E+03, .236799E+02, .344369E-01, .496887E+02, .468873E+02, .232977E+02
.525000E+01, .236831E+03, .232651E+02, .344369E-01, .507493E+02, .467258E+02, .237130E+02
.550000E+01, .231664E+03, .228693E+02, .344369E-01, .518075E+02, .465637E+02, .241235E+02
.575000E+01, .226832E+03, .224914E+02, .344369E-01, .528627E+02, .464009E+02, .245288E+02
.600000E+01, .222296E+03, .221307E+02, .344369E-01, .539144E+02, .462374E+02, .249286E+02
.625000E+01, .218024E+03, .217862E+02, .344369E-01, .549619E+02, .460733E+02, .253227E+02
.650000E+01, .213986E+03, .214574E+02, .344369E-01, .560045E+02, .459084E+02, .257108E+02
.675000E+01, .210157E+03, .211436E+02, .344369E-01, .570415E+02, .457428E+02, .260924E+02
.700000E+01, .206514E+03, .208442E+02, .344369E-01, .580720E+02, .455765E+02, .264672E+02
.725000E+01, .203037E+03, .205587E+02, .344369E-01, .590951E+02, .454095E+02, .268348E+02
.750000E+01, .199709E+03, .202865E+02, .344369E-01, .601099E+02, .452417E+02, .271947E+02
.775000E+01, .196513E+03, .200274E+02, .344369E-01, .611153E+02, .450731E+02, .275465E+02
.800000E+01, .193435E+03, .197810E+02, .344369E-01, .621102E+02, .449037E+02, .278898E+02
.825000E+01, .190461E+03, .195469E+02, .344369E-01, .630932E+02, .447335E+02, .282238E+02
.850000E+01, .187580E+03, .193248E+02, .344369E-01, .640631E+02, .445625E+02, .285481E+02
.875000E+01, .184780E+03, .191146E+02, .344369E-01, .650184E+02, .443906E+02, .288621E+02
.900000E+01, .182052E+03, .189160E+02, .344369E-01, .659575E+02, .442179E+02, .291650E+02
.925000E+01, .179385E+03, .187291E+02, .344369E-01, .668786E+02, .440443E+02, .294562E+02
.950000E+01, .176770E+03, .185535E+02, .344369E-01, .677798E+02, .438698E+02, .297349E+02
.975000E+01, .174199E+03, .183895E+02, .344369E-01, .686590E+02, .436944E+02, .300001E+02
.100000E+02, .171665E+03, .182369E+02, .344369E-01, .695140E+02, .435180E+02, .302511E+02
.102500E+02, .169158E+03, .180959E+02, .344369E-01, .703423E+02, .433407E+02, .304868E+02
.105000E+02, .166671E+03, .179666E+02, .344369E-01, .711411E+02, .431624E+02, .307062E+02
.107500E+02, .164197E+03, .178493E+02, .344369E-01, .719076E+02, .429831E+02, .309081E+02
.110000E+02, .161729E+03, .177441E+02, .344369E-01, .726385E+02, .428027E+02, .310912E+02
