Pic, F/m0, S, f, PropEff, ThermEff, OvAllEff
.100000E+02, .195475E+03, .166352E+02, .292658E-01, .613208E+02, .540827E+02, .331639E+02
.110000E+02, .196565E+03, .163700E+02, .289599E-01, .609246E+02, .553162E+02, .337011E+02
.120000E+02, .197443E+03, .161359E+02, .286732E-01, .606063E+02, .564134E+02, .341900E+02
.130000E+02, .198154E+03, .159265E+02, .284032E-01, .603487E+02, .573988E+02, .346395E+02
.140000E+02, .198733E+03, .157372E+02, .281476E-01, .601395E+02, .582914E+02, .350562E+02
.150000E+02, .199205E+03, .155645E+02, .279047E-01, .599694E+02, .591055E+02, .354452E+02
.160000E+02, .199588E+03, .154057E+02, .276731E-01, .598312E+02, .598527E+02, .358106E+02
.170000E+02, .199898E+03, .152587E+02, .274517E-01, .597196E+02, .605421E+02, .361555E+02
.180000E+02, .200146E+03, .151219E+02, .272393E-01, .596304E+02, .611812E+02, .364826E+02
.190000E+02, .200342E+03, .149940E+02, .270353E-01, .595600E+02, .617763E+02, .367940E+02
.200000E+02, .200493E+03, .148737E+02, .268387E-01, .595057E+02, .623324E+02, .370913E+02
.210000E+02, .200606E+03, .147604E+02, .266491E-01, .594653E+02, .628538E+02, .373762E+02
.220000E+02, .200685E+03, .146531E+02, .264658E-01, .594369E+02, .633443E+02, .376499E+02
.230000E+02, .200734E+03, .145512E+02, .262884E-01, .594190E+02, .638069E+02, .379134E+02
.240000E+02, .200759E+03, .144543E+02, .261164E-01, .594103E+02, .642443E+02, .381678E+02
.250000E+02, .200761E+03, .143617E+02, .259494E-01, .594097E+02, .646589E+02, .384137E+02
.260000E+02, .200742E+03, .142732E+02, .257872E-01, .594162E+02, .650528E+02, .386519E+02
.270000E+02, .200707E+03, .141884E+02, .256293E-01, .594291E+02, .654276E+02, .388830E+02
.280000E+02, .200655E+03, .141069E+02, .254756E-01, .594476E+02, .657850E+02, .391076E+02
.290000E+02, .200589E+03, .140285E+02, .253257E-01, .594712E+02, .661263E+02, .393261E+02
.300000E+02, .200511E+03, .139530E+02, .251795E-01, .594994E+02, .664528E+02, .395390E+02
.310000E+02, .200421E+03, .138801E+02, .250367E-01, .595316E+02, .667656E+02, .397466E+02
.320000E+02, .200321E+03, .138096E+02, .248972E-01, .595676E+02, .670657E+02, .399494E+02
.330000E+02, .200211E+03, .137415E+02, .247608E-01, .596069E+02, .673540E+02, .401476E+02
.340000E+02, .200094E+03, .136754E+02, .246273E-01, .596492E+02, .676313E+02, .403415E+02
.350000E+02, .199968E+03, .136113E+02, .244965E-01, .596943E+02, .678983E+02, .405314E+02
.360000E+02, .199836E+03, .135491E+02, .243684E-01, .597420E+02, .681556E+02, .407175E+02
.370000E+02, .199697E+03, .134887E+02, .242428E-01, .597919E+02, .684039E+02, .409000E+02
.380000E+02, .199553E+03, .134299E+02, .241197E-01, .598439E+02, .686438E+02, .410791E+02
.390000E+02, .199403E+03, .133726E+02, .239988E-01, .598979E+02, .688756E+02, .412551E+02
.400000E+02, .199248E+03, .133168E+02, .238801E-01, .599537E+02, .690999E+02, .414279E+02
