Pic, F/m0, S, f, PropEff, ThermEff, OvAllEff
.100000E+02, .189286E+03, .235386E+02, .400998E-01, .645090E+02, .363322E+02, .234375E+02
.110000E+02, .190588E+03, .231508E+02, .397103E-01, .639833E+02, .372443E+02, .238301E+02
.120000E+02, .191604E+03, .228158E+02, .393443E-01, .635556E+02, .380455E+02, .241801E+02
.130000E+02, .192401E+03, .225216E+02, .389986E-01, .632053E+02, .387560E+02, .244959E+02
.140000E+02, .193025E+03, .222599E+02, .386705E-01, .629177E+02, .393909E+02, .247838E+02
.150000E+02, .193512E+03, .220245E+02, .383581E-01, .626813E+02, .399621E+02, .250487E+02
.160000E+02, .193888E+03, .218108E+02, .380597E-01, .624875E+02, .404788E+02, .252942E+02
.170000E+02, .194173E+03, .216152E+02, .377736E-01, .623296E+02, .409487E+02, .255232E+02
.180000E+02, .194382E+03, .214349E+02, .374989E-01, .622020E+02, .413778E+02, .257378E+02
.190000E+02, .194527E+03, .212678E+02, .372344E-01, .621005E+02, .417711E+02, .259401E+02
.200000E+02, .194619E+03, .211120E+02, .369792E-01, .620215E+02, .421328E+02, .261314E+02
.210000E+02, .194665E+03, .209663E+02, .367326E-01, .619621E+02, .424664E+02, .263131E+02
.220000E+02, .194672E+03, .208292E+02, .364939E-01, .619198E+02, .427750E+02, .264862E+02
.230000E+02, .194646E+03, .207000E+02, .362624E-01, .618927E+02, .430609E+02, .266516E+02
.240000E+02, .194590E+03, .205776E+02, .360378E-01, .618790E+02, .433266E+02, .268100E+02
.250000E+02, .194508E+03, .204615E+02, .358194E-01, .618771E+02, .435737E+02, .269622E+02
.260000E+02, .194404E+03, .203510E+02, .356070E-01, .618859E+02, .438041E+02, .271086E+02
.270000E+02, .194281E+03, .202456E+02, .354000E-01, .619043E+02, .440191E+02, .272497E+02
.280000E+02, .194140E+03, .201449E+02, .351982E-01, .619312E+02, .442200E+02, .273860E+02
.290000E+02, .193983E+03, .200483E+02, .350013E-01, .619660E+02, .444080E+02, .275179E+02
.300000E+02, .193812E+03, .199557E+02, .348089E-01, .620078E+02, .445840E+02, .276456E+02
.310000E+02, .193629E+03, .198667E+02, .346209E-01, .620561E+02, .447490E+02, .277694E+02
.320000E+02, .193435E+03, .197810E+02, .344369E-01, .621102E+02, .449037E+02, .278898E+02
.330000E+02, .193230E+03, .196984E+02, .342569E-01, .621696E+02, .450489E+02, .280067E+02
.340000E+02, .193017E+03, .196186E+02, .340805E-01, .622340E+02, .451852E+02, .281206E+02
.350000E+02, .192795E+03, .195416E+02, .339077E-01, .623029E+02, .453132E+02, .282314E+02
.360000E+02, .192566E+03, .194670E+02, .337382E-01, .623760E+02, .454334E+02, .283396E+02
.370000E+02, .192330E+03, .193948E+02, .335718E-01, .624529E+02, .455464E+02, .284450E+02
.380000E+02, .192087E+03, .193249E+02, .334085E-01, .625333E+02, .456526E+02, .285481E+02
.390000E+02, .191839E+03, .192570E+02, .332482E-01, .626170E+02, .457523E+02, .286487E+02
.400000E+02, .191586E+03, .191910E+02, .330906E-01, .627038E+02, .458459E+02, .287471E+02
