Tt4R, F/m0, S, f, PropEff, ThermEff, OvAllEff
.150000E+04, .179232E+03, .122352E+02, .197365E-01, .672327E+02, .670657E+02, .450901E+02
.155000E+04, .184506E+03, .125918E+02, .209094E-01, .653286E+02, .670657E+02, .438131E+02
.160000E+04, .189458E+03, .129505E+02, .220823E-01, .635191E+02, .670657E+02, .425996E+02
.165000E+04, .194142E+03, .133094E+02, .232552E-01, .618065E+02, .670657E+02, .414510E+02
.170000E+04, .198596E+03, .136671E+02, .244281E-01, .601889E+02, .670657E+02, .403661E+02
.175000E+04, .202852E+03, .140228E+02, .256010E-01, .586621E+02, .670657E+02, .393421E+02
.180000E+04, .206933E+03, .143760E+02, .267739E-01, .572208E+02, .670657E+02, .383756E+02
.185000E+04, .210860E+03, .147263E+02, .279468E-01, .558597E+02, .670657E+02, .374627E+02
.190000E+04, .214649E+03, .150735E+02, .291197E-01, .545730E+02, .670657E+02, .365998E+02
.195000E+04, .218314E+03, .154174E+02, .302925E-01, .533556E+02, .670657E+02, .357833E+02
.200000E+04, .221865E+03, .157580E+02, .314654E-01, .522024E+02, .670657E+02, .350099E+02
.205000E+04, .225314E+03, .160953E+02, .326383E-01, .511086E+02, .670657E+02, .342764E+02
.210000E+04, .228667E+03, .164291E+02, .338112E-01, .500700E+02, .670657E+02, .335798E+02
.215000E+04, .231934E+03, .167596E+02, .349841E-01, .490826E+02, .670657E+02, .329176E+02
.220000E+04, .235120E+03, .170868E+02, .361570E-01, .481427E+02, .670657E+02, .322873E+02
.225000E+04, .238230E+03, .174108E+02, .373299E-01, .472470E+02, .670657E+02, .316866E+02
.230000E+04, .241271E+03, .177315E+02, .385028E-01, .463924E+02, .670657E+02, .311134E+02
.235000E+04, .244246E+03, .180491E+02, .396757E-01, .455761E+02, .670657E+02, .305660E+02
.240000E+04, .247160E+03, .183636E+02, .408486E-01, .447956E+02, .670657E+02, .300425E+02
.245000E+04, .250016E+03, .186750E+02, .420215E-01, .440485E+02, .670657E+02, .295414E+02
.250000E+04, .252818E+03, .189836E+02, .431944E-01, .433325E+02, .670657E+02, .290613E+02
