Tt4R, F/m0, S, f, PropEff, ThermEff, OvAllEff
.150000E+04, .165109E+03, .185067E+02, .275006E-01, .721770E+02, .413013E+02, .298101E+02
.155000E+04, .172842E+03, .186868E+02, .290689E-01, .698313E+02, .422773E+02, .295228E+02
.160000E+04, .179663E+03, .189502E+02, .306419E-01, .674696E+02, .431489E+02, .291124E+02
.165000E+04, .185779E+03, .192701E+02, .322198E-01, .651670E+02, .439321E+02, .286292E+02
.170000E+04, .191340E+03, .196291E+02, .338025E-01, .629612E+02, .446395E+02, .281056E+02
.175000E+04, .196456E+03, .200159E+02, .353901E-01, .608690E+02, .452817E+02, .275625E+02
.180000E+04, .201209E+03, .204225E+02, .369825E-01, .588957E+02, .458671E+02, .270138E+02
.185000E+04, .205662E+03, .208432E+02, .385799E-01, .570401E+02, .464031E+02, .264684E+02
.190000E+04, .209864E+03, .212742E+02, .401822E-01, .552978E+02, .468955E+02, .259322E+02
.195000E+04, .213854E+03, .217123E+02, .417894E-01, .536624E+02, .473496E+02, .254089E+02
.200000E+04, .217662E+03, .221554E+02, .434016E-01, .521269E+02, .477695E+02, .249007E+02
.205000E+04, .221314E+03, .226018E+02, .450188E-01, .506842E+02, .481589E+02, .244090E+02
.210000E+04, .224829E+03, .230502E+02, .466411E-01, .493273E+02, .485212E+02, .239342E+02
.215000E+04, .228224E+03, .234995E+02, .482683E-01, .480496E+02, .488589E+02, .234765E+02
.220000E+04, .231513E+03, .239491E+02, .499007E-01, .468450E+02, .491746E+02, .230358E+02
.225000E+04, .234708E+03, .243982E+02, .515381E-01, .457078E+02, .494703E+02, .226118E+02
.230000E+04, .237818E+03, .248465E+02, .531807E-01, .446327E+02, .497478E+02, .222038E+02
.235000E+04, .240853E+03, .252936E+02, .548284E-01, .436150E+02, .500087E+02, .218113E+02
.240000E+04, .243819E+03, .257392E+02, .564812E-01, .426504E+02, .502546E+02, .214338E+02
.245000E+04, .246722E+03, .261830E+02, .581393E-01, .417348E+02, .504866E+02, .210705E+02
.250000E+04, .249569E+03, .266248E+02, .598025E-01, .408646E+02, .507059E+02, .207208E+02
